bedrooms,bathrooms,bathroomsFull,bathroomsThreeQuarter,bathroomsHalf,bathroomsOneQuarter,bathroomsPartial,mainLevelBathrooms,rooms,basement,flooring,heating,hasHeating,cooling,hasCooling,appliances,laundryFeatures,fireplaces,fireplaceFeatures,hasFireplace,furnished,commonWalls,buildingArea,livingArea,aboveGradeFinishedArea,belowGradeFinishedArea,parking,parkingFeatures,garageSpaces,coveredSpaces,hasAttachedGarage,hasGarage,openParkingSpaces,hasOpenParking,carportSpaces,hasCarport,otherParking,accessibilityFeatures,levels,stories,entryLevel,entryLocation,hasPrivatePool,hasSpa,spaFeatures,exteriorFeatures,patioAndPorchFeatures,fencing,view,hasView,hasWaterfrontView,waterfrontFeatures,frontageType,frontageLength,topography,woodedArea,vegetation,canRaiseHorses,lotSize,lotSizeDimensions,otherStructures,additionalParcelsDescription,hasAdditionalParcels,parcelNumber,hasAttachedProperty,hasLandLease,landLeaseAmount,zoning,zoningDescription,homeType,architecturalStyle,constructionMaterials,foundationDetails,roofType,windowFeatures,propertyCondition,isNewConstruction,yearBuiltEffective,builderModel,hasHomeWarranty,electric,hasElectricOnProperty,gas,sewer,waterSources,utilities,greenBuildingVerificationType,greenEnergyEfficient,greenIndoorAirQuality,greenSustainability,greenWaterConservation,numberOfUnitsInCommunity,numberOfUnitsVacant,storiesTotal,hasPetsAllowed,hasRentControl,buildingFeatures,structureType,buildingName,elementarySchool,elementarySchoolDistrict,middleOrJuniorSchool,middleOrJuniorSchoolDistrict,highSchool,highSchoolDistrict,securityFeatures,communityFeatures,isSeniorCommunity,cityRegion,listingId,buildingAreaSource,otherFacts,zipcode,streetAddress,city,state,latitude,longitude,price,homeStatus,photoCount,imageId,description
3,1,0,0,0,0,,,[],"Full, Daylight/Lookout Windows","['Carpet', 'Hardwood']",['Forced air'],True,['Central'],True,"['Range', 'Dishwasher', 'Refrigerator', 'Washer', 'Dryer']",,,,True,False,,,1410.0,,,,['Attached Garage'],2,,False,True,,False,,False,,,,,,,False,False,,"['Brick', 'Stone', 'Wood']",,,,,False,,,,,,,False,0 acres,,,,False,1802721230064,False,False,,Residential-Single Family,,Single Family,,,['Concrete Block'],Asphalt,,,False,1967,,False,,,,['City Sewer/Connected'],,,,,,,,,,,True,False,,Split level,,,South Washington 833,,South Washington 833,,South Washington 833,,,False,Saint Paul Park,5548836,,"[{'name': 'AmenitiesUnit', 'value': 'Deck'}, {'name': 'Exterior', 'value': 'Brick/Stone, Wood'}, {'name': 'Fuel', 'value': 'Natural Gas'}, {'name': 'GarageDescription', 'value': 'Attached Garage'}, {'name': 'Fence', 'value': 'Wood, Wire'}, {'name': 'SpecialSearch', 'value': '3 BR on One Level'}, {'name': 'HeatingDescription', 'value': 'Forced Air'}, {'name': 'PresentUse', 'value': 'Yearly'}, {'name': 'Roof', 'value': 'Asphalt Shingles'}, {'name': 'OutBuildings', 'value': 'Storage Shed'}, {'name': 'DiningRoomDescription', 'value': 'Eat In Kitchen'}, {'name': 'FrontageFeet', 'value': 'City'}, {'name': 'Water', 'value': 'City Water/Connected'}, {'name': 'BathDesc', 'value': 'Upper Level Full Bath'}, {'name': 'CONSTRUCTIONSTATUS', 'value': 'Previously Owned'}, {'name': 'Status', 'value': 'Active'}, {'name': 'TaxYear', 'value': '2020.00'}, {'name': 'PowerCompanyName', 'value': 'Xcel Energy'}]",55071,1412 Gary Dr,Saint Paul Park,MN,44.828664,-92.981094,254900.0,FOR_SALE,25,55071_0,"For sale: $254,900. Extremely well maintained, this home offers three bedrooms on one level. Just blocks from Heritage, Whitbred, and Belden parks. Large, eat in kitchen, fenced back yard, large deck for sunny afternoons. Oversized two car garage is heated and insulated. Storage shed. Newer roof and windows, concrete drive way, updated washer dryer, updated water heater."
2,2,1,0,1,0,,,[],None,"['Carpet', 'Linoleum / Vinyl']",['Forced air'],True,['Central'],True,"['Range', 'Microwave', 'Dishwasher', 'Refrigerator', 'Washer', 'Dryer', 'Disposal']",,,,True,False,,,1716.0,,,,['Attached Garage'],2,,False,True,,False,,False,,,,2,,,,,,"['Brick', 'Stone', 'Vinyl']",,,,,,,,,,,,False,0.11 acres,,,,False,1102722410047,False,False,,Residential-Multi-Family,,Townhouse,,,['Concrete'],Asphalt,,,False,,,False,,,,['City Sewer/Connected'],,,,,,,,,,,True,False,,Other,,,,,,,,,,False,Saint Paul Park,5544990,,"[{'name': 'AmenitiesUnit', 'value': 'Natural Woodwork, Washer/Dryer Hookup, Patio, In-Ground Sprinkler, Kitchen Center Island, Master Bedroom Walk-In Closet, Paneled Doors'}, {'name': 'Exterior', 'value': 'Brick/Stone, Vinyl'}, {'name': 'DiningRoomDescription', 'value': 'Informal Dining Room, Breakfast Area'}, {'name': 'Fuel', 'value': 'Natural Gas'}, {'name': 'GarageDescription', 'value': 'Attached Garage, Garage Door Opener, Driveway - Asphalt'}, {'name': 'HeatingDescription', 'value': 'Forced Air'}, {'name': 'BathDesc', 'value': 'Main Floor 1/2 Bath, Upper Level Full Bath'}, {'name': 'FrontageFeet', 'value': 'Paved Streets, Private, Curbs, Cul De Sac'}, {'name': 'PresentUse', 'value': 'Yearly'}, {'name': 'Roof', 'value': 'Asphalt Shingles, Pitched'}, {'name': 'Water', 'value': 'City Water/Connected'}, {'name': 'SpecialSearch', 'value': '2nd Floor Laundry'}, {'name': 'CONSTRUCTIONSTATUS', 'value': 'Previously Owned'}, {'name': 'Status', 'value': 'Active'}, {'name': 'AssocFeeIncludes', 'value': 'Sanitation, Snow/Lawn Care, Outside Maintenance, Professional Mgmt, Water/Sewer, Hazard Insurance'}, {'name': 'TaxYear', 'value': '2020.00'}]",55071,208 River Woods Dr W,Saint Paul Park,MN,44.838816,-93.004939,215000.0,FOR_SALE,36,55071_1,"For sale: $215,000. Sensational private end unit  -  enjoy the woods and nature. Nice outdoor patio and yard space, open floor plan, breakfast bar, kitchen island, large picture windows, maple cabinets, washer/dryer, large loft that can be converted to a 3rd bedroom, extra cabinet and built-in desk in kitchen installed by Seller. Quiet area at end of street. This one won't last long!!"
3,3,1,1,1,0,,,[],Slab,"['Carpet', 'Linoleum / Vinyl']",['Forced air'],True,['Central'],True,"['Range', 'Microwave', 'Dishwasher', 'Refrigerator', 'Washer', 'Dryer']",,,,True,False,,,1560.0,,,,['Attached Garage'],2,,False,True,,False,,False,,,,2,,,,,,"['Metal', 'Vinyl']",,,,,,,,,,,,False,0.05 acres,,,,False,1202722230066,False,False,,Residential-Single Family,,Townhouse,,,['Concrete Block'],Asphalt,,,False,2004,,False,,,,['City Sewer/Connected'],,,,,,,,,,,True,False,,Other,,,South Washington County,,South Washington County,,South Washington County,,,False,Saint Paul Park,5543831,,"[{'name': 'AmenitiesUnit', 'value': 'Porch, Washer/Dryer Hookup, Walk-In Closet, Master Bedroom Walk-In Closet, Cable'}, {'name': 'BathDesc', 'value': 'Private Master, Main Floor 1/2 Bath, Upper Level Full Bath, 3/4 Master, Upper Level 3/4 Bath, Bathroom Ensuite'}, {'name': 'DiningRoomDescription', 'value': 'Informal Dining Room, Kitchen/Dining Room, Breakfast Bar'}, {'name': 'Fuel', 'value': 'Natural Gas'}, {'name': 'Exterior', 'value': 'Vinyl, Metal'}, {'name': 'GarageDescription', 'value': 'Attached Garage, Garage Door Opener, Driveway - Asphalt'}, {'name': 'FireplaceLoc', 'value': 'Living Room, Electric'}, {'name': 'SpecialSearch', 'value': '3 BR on One Level, 2nd Floor Laundry'}, {'name': 'HeatingDescription', 'value': 'Forced Air'}, {'name': 'FrontageFeet', 'value': 'Paved Streets, City, Curbs'}, {'name': 'PresentUse', 'value': 'Yearly'}, {'name': 'Roof', 'value': 'Asphalt Shingles, Age 8 Years or Less'}, {'name': 'Water', 'value': 'City Water/Connected'}, {'name': 'TaxYear', 'value': '2019.00'}, {'name': 'CONSTRUCTIONSTATUS', 'value': 'Previously Owned'}, {'name': 'Status', 'value': 'Active'}, {'name': 'AssocFeeIncludes', 'value': 'Sanitation, Outside Maintenance, Building Exterior, Water/Sewer, Hazard Insurance, Snow Removal, Lawn Care'}, {'name': 'PowerCompanyName', 'value': 'Xcel Energy'}]",55071,948 Main St,Saint Paul Park,MN,44.841049,-93.001921,199900.0,FOR_SALE,22,55071_2,"For sale: $199,900. Beautifully updated end-unit townhome in great location. This townhome features a brand new custom kitchen, new appliances and countertops, new AC, new water heater and 3 year old roof. You'll love the abundance of natural light that flows into this open floor-plan with 3 bedrooms on the 2nd level, upper level laundry, spacious room sizes, a large garage and much more. Don't miss this opportunity!"
2,2,1,0,1,0,,,[],,"['Carpet', 'Linoleum / Vinyl']",['Forced air'],True,"['Central', 'Other']",True,"['Range', 'Microwave', 'Dishwasher', 'Refrigerator', 'Washer', 'Dryer', 'Water Softener - Owned', 'Gas Water Heater']",,,,True,False,,,1716.0,,,,['Attached Garage'],2,,False,True,,False,,False,,,,2,,,,,,"['Brick', 'Stone', 'Vinyl']",,,,,,,,,,,,False,,,,,False,1102722410032,False,False,,Residential-Single Family,,Townhouse,,,['Concrete'],Asphalt,,,False,,,False,,,,['City Sewer/Connected'],,,,,,,,,,,True,False,,Other,,,,,,,,,,False,Saint Paul Park,5543546,,"[{'name': 'AmenitiesUnit', 'value': 'Natural Woodwork, Patio, Ceiling Fan(s)'}, {'name': 'Exterior', 'value': 'Brick/Stone, Vinyl'}, {'name': 'DiningRoomDescription', 'value': 'Informal Dining Room'}, {'name': 'Fuel', 'value': 'Natural Gas'}, {'name': 'GarageDescription', 'value': 'Attached Garage, Driveway - Asphalt'}, {'name': 'FireplaceLoc', 'value': 'Living Room, Gas Burning'}, {'name': 'HeatingDescription', 'value': 'Forced Air'}, {'name': 'BathDesc', 'value': 'Main Floor 1/2 Bath, Upper Level Full Bath'}, {'name': 'PresentUse', 'value': 'Yearly'}, {'name': 'Roof', 'value': 'Asphalt Shingles, Age 8 Years or Less'}, {'name': 'FrontageFeet', 'value': 'Private'}, {'name': 'Water', 'value': 'City Water/Connected'}, {'name': 'SpecialSearch', 'value': '2nd Floor Laundry'}, {'name': 'TaxYear', 'value': '2019.00'}, {'name': 'CONSTRUCTIONSTATUS', 'value': 'Previously Owned'}, {'name': 'Status', 'value': 'Active'}, {'name': 'AssocFeeIncludes', 'value': 'Sanitation, Snow/Lawn Care, Outside Maintenance, Hazard Insurance'}, {'name': 'PowerCompanyName', 'value': 'Xcel Energy'}]",55071,124 River Woods Dr W,Saint Paul Park,MN,44.839112,-93.004427,215000.0,FOR_SALE,18,55071_3,"For sale: $215,000. Beautiful open floor plan end unit home offers kid friendly front/side yard within updated desired community. Home features include 9 foot ceilings main floor, gas fireplace, fresh paint, new carpet, 2 car garage, upper level laundry, huge master bedroom with walk in closet,  loft that could be converted to 3rd bedroom, walking distance to multiple parks/school/bus stop/river. Minutes by car to shopping, entertainment, restaurants and much more."
3,1,0,0,0,0,,,[],,['Hardwood'],['Forced air'],True,,,,,,,,False,,,1037.0,,,,['Attached Garage'],1,,False,True,,False,,False,,,,1,,,,,,['Vinyl'],,,,,,,,,,,,False,0.43 acres,,,,False,0702721330029,False,False,,Residential-Single Family,,Single Family,,,['Concrete'],Asphalt,,,False,,,False,,,,['City Sewer/Connected'],,,,,,,,,,,True,False,,Ranch,,,,,,,,,,False,Saint Paul Park,5543593,,"[{'name': 'AmenitiesUnit', 'value': 'Kitchen Window, Hardwood Floors, Washer/Dryer Hookup'}, {'name': 'Fuel', 'value': 'Natural Gas'}, {'name': 'Exterior', 'value': 'Vinyl'}, {'name': 'GarageDescription', 'value': 'Attached Garage'}, {'name': 'PresentUse', 'value': 'Yearly'}, {'name': 'HeatingDescription', 'value': 'Other'}, {'name': 'DiningRoomDescription', 'value': 'Eat In Kitchen, Separate/Formal Dining Room'}, {'name': 'Water', 'value': 'City Water/Connected'}, {'name': 'Fence', 'value': 'Chain Link'}, {'name': 'HandicapAccess', 'value': 'No Stairs Internal'}, {'name': 'TaxYear', 'value': '2019.00'}, {'name': 'CONSTRUCTIONSTATUS', 'value': 'Previously Owned'}, {'name': 'Status', 'value': 'Active'}, {'name': 'AuctionType', 'value': 'RESRV'}]",55071,1208 Lincoln Ave,Saint Paul Park,MN,44.836114,-92.983698,144160.0,FOR_SALE,21,55071_4,"For sale: $144,160. The auction for Hubzu property 00016122627 ends 04-11-2020 at 11:41 AM ET. Why wait? Bid on this property now. Visit Hubzu.com to get started. This rambler style home offers 3 bedrooms, 1 bathroom and 1,037 square feet. This home also has a great floor plan with all living facilities on one level, hardwood floors, and a large fenced in backyard to name a few. Located conveniently near shops, parks and freeway access. Come and look today!"
3,1,1,0,0,0,,,[],Full,['Hardwood'],['Forced air'],True,,,"['Range', 'Microwave', 'Dishwasher', 'Refrigerator']",,,,,False,,,1256.0,,,,['Detached Garage'],2,,False,True,,False,,False,,,,0,,,,,,['Stucco'],,,,,,,,,,,,False,0.26 acres,,,,False,0702721310088,False,False,,Residential-Single Family,,Single Family,,,['Concrete Block'],Asphalt,,,False,1950,,False,,,,['City Sewer/Connected'],,,,,,,,,,,True,False,,Other,,,,,,,,,,False,Saint Paul Park,5541195,,"[{'name': 'AmenitiesUnit', 'value': 'Kitchen Window, Hardwood Floors, Main Floor Master Bedroom'}, {'name': 'Fuel', 'value': 'Natural Gas'}, {'name': 'GarageDescription', 'value': 'Detached Garage, Garage Door Opener'}, {'name': 'BathDesc', 'value': 'Main Floor Full Bath'}, {'name': 'HeatingDescription', 'value': 'Forced Air'}, {'name': 'PresentUse', 'value': 'Yearly'}, {'name': 'Roof', 'value': 'Asphalt Shingles, Age Over 8 Years'}, {'name': 'SpecialSearch', 'value': 'Main Floor Bedroom'}, {'name': 'OutBuildings', 'value': 'Storage Shed'}, {'name': 'DiningRoomDescription', 'value': 'Eat In Kitchen'}, {'name': 'FrontageFeet', 'value': 'City'}, {'name': 'Water', 'value': 'City Water/Connected'}, {'name': 'Exterior', 'value': 'Stucco'}, {'name': 'CONSTRUCTIONSTATUS', 'value': 'Previously Owned'}, {'name': 'Status', 'value': 'Active'}, {'name': 'TaxYear', 'value': '2020.00'}]",55071,1109 Aurora Ave,Saint Paul Park,MN,44.838082,-92.977454,220000.0,FOR_SALE,42,55071_5,"For sale: $220,000. New price will include new asphalt driveway and some new sidewalk. More details coming. Absolutely a charming home with quick closing and possession. Lots of updates that you'll enjoy as soon as you move in. Freshly painted a neutral color. Kitchen has new flooring and updated light. 2016 fresh and redone full bath on main floor with a window. 2 main floor bedrooms. Third bedroom upstairs had new carpet, paint, light, mop boards and is full of character. New garage door with key pad. Furnace and A/C 2014. Roof in 2014. Water heater in 2016. The roof and chimney were rebuilt in 2014. Lots of care in this home. Amazing flat yard too for lots of activities. Freezer to stay."
4,2,1,1,0,0,,,[],Other,['Hardwood'],['Forced air'],True,['Central'],True,"['Dishwasher', 'Microwave', 'Range / Oven', 'Refrigerator']",,,,,False,,,1507.0,,,,['Attached Garage'],2,,False,True,,False,,False,,,,,,,,,,['Composition'],,,,,,,,,,,,False,0.29 acres,,,,False,1302722140039,False,False,,Residential-Single Family,,Single Family,,,['Concrete Block'],Asphalt,,,False,1988,,False,,,,['City Sewer/Connected'],,,,,,,,,,,True,False,,,,,South Washington County,,South Washington County,,South Washington County,,,False,Saint Paul Park,5503764,,"[{'name': 'Fuel', 'value': 'Natural Gas'}, {'name': 'GarageDescription', 'value': 'Attached Garage, Insulated Garage, Garage Door Opener, Driveway - Asphalt'}, {'name': 'HeatingDescription', 'value': 'Forced Air'}, {'name': 'Exterior', 'value': 'Fiber Board'}, {'name': 'PresentUse', 'value': 'Yearly'}, {'name': 'Water', 'value': 'City Water/Connected'}, {'name': 'TaxYear', 'value': '2019.00'}, {'name': 'CONSTRUCTIONSTATUS', 'value': 'Previously Owned'}, {'name': 'Status', 'value': 'Active'}]",55071,1116 16th Ave,Saint Paul Park,MN,44.827818,-92.985998,285000.0,FOR_SALE,19,55071_6,"For sale: $285,000. Located on a large corner lot, this wonderful 4 Bedroom, 2 Bath home is conveniently close to everything; schools, parks, entertainment, and all shopping needs. Freshly painted main level with 2 bedrooms and a bathroom and a large living room that opens to the kitchen with tons of counter space.  2 other bedrooms on the lower level with a bathroom, laundry room, second living room and office/flex space. Spacious backyard with wood privacy fence, storage shed with electricity, hot tub and lush landscaping and beautiful trees! No showings due to COVID -19."
3,3,2,0,1,0,,,[],"Finished (Livable), Partial, Walkout, Storage Space","['Hardwood', 'Tile']",['Forced air'],True,,,"['Range', 'Microwave', 'Exhaust Fan/Hood', 'Dishwasher', 'Refrigerator', 'Washer', 'Dryer', 'Disposal', 'Water Softener - Owned']",,,,True,False,,,2015.0,,,,['Attached Garage'],3,,False,True,,False,,False,,,,2,,,,,,"['Metal', 'Vinyl']",,,,,,,,,,,,False,0.26 acres,,,,False,1202722240090,False,False,,Residential-Single Family,,Single Family,,,['Concrete'],Asphalt,,,False,2006,,False,,,,['City Sewer/Connected'],,,,,,,,,,,True,False,,Other,,,,,,,,,,False,Saint Paul Park,5506048,,"[{'name': 'AmenitiesUnit', 'value': 'Deck, Porch, Natural Woodwork, Kitchen Window, Vaulted Ceiling(s), Hardwood Floors, Tiled Floors, Washer/Dryer Hookup, Patio, Walk-In Closet, Ceiling Fan(s), Security System, Kitchen Center Island, Master Bedroom Walk-In Closet'}, {'name': 'BathDesc', 'value': 'Private Master, Full Master, Main Floor 1/2 Bath, Upper Level Full Bath'}, {'name': 'DiningRoomDescription', 'value': 'Informal Dining Room, Breakfast Area, Living/Dining Room, Eat In Kitchen'}, {'name': 'Fuel', 'value': 'Natural Gas'}, {'name': 'Exterior', 'value': 'Vinyl, Metal'}, {'name': 'GarageDescription', 'value': 'Attached Garage, Insulated Garage, Garage Door Opener, Driveway - Asphalt'}, {'name': 'Fence', 'value': 'Wood, Chain Link'}, {'name': 'FireplaceLoc', 'value': 'Living Room, Decorative'}, {'name': 'SpecialSearch', 'value': '3 BR on One Level'}, {'name': 'HeatingDescription', 'value': 'Forced Air'}, {'name': 'FrontageFeet', 'value': 'Paved Streets, City, Sidewalks'}, {'name': 'PresentUse', 'value': 'Yearly'}, {'name': 'Roof', 'value': 'Asphalt Shingles, Age Over 8 Years'}, {'name': 'OutBuildings', 'value': 'Storage Shed'}, {'name': 'Water', 'value': 'City Water/Connected'}, {'name': 'TaxYear', 'value': '2019.00'}, {'name': 'CONSTRUCTIONSTATUS', 'value': 'Previously Owned'}, {'name': 'Status', 'value': 'Active'}]",55071,900 2nd St,Saint Paul Park,MN,44.842036,-92.99894,324900.0,FOR_SALE,33,55071_7,"For sale: $324,900. Seller PAID off the $17519.60 assessment. Large Corner Lot! Seller has completed many updates including new lighting on main level and owners suite, new upper kitchen cabinets, new black matte appliances, kitchen sink and faucet, surround sound in lower level living area, upper-level guest bath and lower level bathroom remodeled, new wood blinds throughout, blackout accordion blinds in owners suite, decorative fireplace and wood accent wall, outdoor Arlo security system installed and more.  Open layout, laundry on the upper level with a loft area for an office.  Enjoy the large patio, deck and fenced-in yard with putting green, fire pit and storage shed."
3,2,0,0,0,0,,,[],,['Hardwood'],['Forced air'],True,['Central'],True,"['Microwave', 'Range / Oven', 'Refrigerator', 'Washer']",,,,True,False,,,1952.0,,,,"['Attached Garage', 'Off street', 'On street']",2,,False,True,,False,,False,,,,1,,,False,False,,['Stucco'],,,,,False,,,,,,,False,0.14 acres,,,,False,1202722340099,False,False,,,,Single Family,,,['Concrete'],Asphalt,,,False,,,False,,,,,,,,,,,,,,,True,False,,Other,,,South Washington County #833,,South Washington County #833,,South Washington County #833,,,False,Saint Paul Park,5502431,,[],55071,1218 2nd St,Saint Paul Park,MN,44.835704,-92.998824,250000.0,FOR_SALE,31,55071_8,"For sale: $250,000. Welcome home!! One level single family living with an entirely fenced backyard! This home is not like any other with it's decorative woodwork and functional layout! Rare master bathroom in this price range! Coming to market 3/20/2020."
3,1,,,,,,,,Finished,"['Carpet', 'Linoleum / Vinyl']",['Forced air'],True,,,,,,,,False,,,962.0,,,,['Attached Garage'],2,,False,True,,False,,False,,,,,,,,,,['Composition'],,,,,,,,,,,,False,0.3 acres,,,,False,1202722330022,False,False,,,,Single Family,,,['Concrete Block'],Asphalt,,,False,,,False,,,,,,,,,,,,,,,True,False,,,,,,,,,,,,False,Saint Paul Park,,,[],55071,1247 2nd St,Saint Paul Park,MN,44.834963,-92.999648,245064.0,PRE_FORECLOSURE,0,55071_9,"Zestimate&reg; Home Value: $245,064. "
