id,detailUrl,streetAddress,zipcode,city,state,latitude,longitude,price,bathrooms,bedrooms,livingArea,yearBuilt,lotSize,homeType,homeStatus,photoCount
106848858,https://www.zillow.com/homedetails/107-Turner-St-W-Dumont-MN-56236/106848858_zpid/,107 Turner St W,56236,Dumont,MN,45.716987,-96.424822,63000.0,1.0,4.0,1390.0,1972,13982.0,SINGLE_FAMILY,RECENTLY_SOLD,16
106848875,https://www.zillow.com/homedetails/113-Lincoln-St-E-Dumont-MN-56236/106848875_zpid/,113 Lincoln St E,56236,Dumont,MN,45.721551,-96.425334,270000.0,3.0,5.0,3400.0,1990,87120.0,SINGLE_FAMILY,RECENTLY_SOLD,31
194208144,https://www.zillow.com/homedetails/7124-County-Road-6-Dumont-MN-56236/194208144_zpid/,7124 County Road 6,56236,Dumont,MN,45.716584,-96.402332,165000.0,3.0,3.0,2856.0,2015,307533.0,SINGLE_FAMILY,RECENTLY_SOLD,19
