id,detailUrl,streetAddress,zipcode,city,state,latitude,longitude,price,bathrooms,bedrooms,livingArea,yearBuilt,lotSize,homeType,homeStatus,photoCount
2080212066,https://www.zillow.com/homedetails/2945-County-Road-4-SW-LOT-418-Cokato-MN-55321/2080212066_zpid/,2945 County Road 4 SW LOT 418,55321,Cokato,MN,45.109628,-94.149543,39900.0,1.0,1.0,256.0,2013,3920.0,SINGLE_FAMILY,FOR_SALE,13
74249492,https://www.zillow.com/homedetails/410-9th-St-SE-Cokato-MN-55321/74249492_zpid/,410 9th St SE,55321,Cokato,MN,45.069169,-94.184251,229900.0,2.0,4.0,2726.0,1988,18905.0,SINGLE_FAMILY,FOR_SALE,26
2080265191,https://www.zillow.com/homedetails/640-3rd-St-SE-Cokato-MN-55321/2080265191_zpid/,640 3rd St SE,55321,Cokato,MN,45.076392,-94.198835,230000.0,2.0,2.0,1476.0,2019,-1.0,SINGLE_FAMILY,FOR_SALE,13
74253504,https://www.zillow.com/homedetails/720-Lantha-Ave-SE-Cokato-MN-55321/74253504_zpid/,720 Lantha Ave SE,55321,Cokato,MN,45.072099,-94.183043,126500.0,1.0,2.0,1344.0,1976,12588.0,SINGLE_FAMILY,FOR_SALE,9
95264207,https://www.zillow.com/homedetails/2945-County-Road-4-SW-326-Cokato-MN-55321/95264207_zpid/,2945 County Road 4 SW #326,55321,Cokato,MN,45.109628,-94.149543,79900.0,1.0,1.0,400.0,2007,10890.0,MANUFACTURED,FOR_SALE,14
2080361876,https://www.zillow.com/homedetails/2945-County-Road-4-SW-415-Cokato-MN-55321/2080361876_zpid/,2945 County Road 4 SW #415,55321,Cokato,MN,45.109636,-94.149551,84900.0,1.0,1.0,400.0,2017,3920.0,SINGLE_FAMILY,FOR_SALE,13
74262755,https://www.zillow.com/homedetails/16851-10th-St-SW-Cokato-MN-55321/74262755_zpid/,16851 10th St SW,55321,Cokato,MN,45.137162,-94.233782,399000.0,3.0,4.0,2828.0,1985,435600.0,SINGLE_FAMILY,FOR_SALE,15
91516308,https://www.zillow.com/homedetails/3184-Nugent-Ave-SW-Cokato-MN-55321/91516308_zpid/,3184 Nugent Ave SW,55321,Cokato,MN,45.105703,-94.169666,649000.0,3.0,5.0,4098.0,2008,80150.0,SINGLE_FAMILY,FOR_SALE,29
241855156,https://www.zillow.com/homedetails/14767-30th-St-SW-Cokato-MN-55321/241855156_zpid/,14767 30th St SW,55321,Cokato,MN,45.108381,-94.189596,280000.0,1.0,3.0,1600.0,1930,289107.0,SINGLE_FAMILY,FOR_SALE,20
91514942,https://www.zillow.com/homedetails/355-Chestnut-Ave-NE-Cokato-MN-55321/91514942_zpid/,355 Chestnut Ave NE,55321,Cokato,MN,45.087364,-94.185529,254900.0,4.0,4.0,2152.0,2005,24393.0,SINGLE_FAMILY,FOR_SALE,23
