id,detailUrl,streetAddress,zipcode,city,state,latitude,longitude,price,bathrooms,bedrooms,livingArea,yearBuilt,lotSize,homeType,homeStatus,photoCount
123763699,https://www.zillow.com/homedetails/4007-Painted-Sky-Trl-Chaska-MN-55318/123763699_zpid/,4007 Painted Sky Trl,55318,Chaska,MN,44.792815,-93.619015,605000.0,5.0,5.0,4817.0,2014,11848.0,SINGLE_FAMILY,RECENTLY_SOLD,0
63372897,https://www.zillow.com/homedetails/2961-Hilltop-Dr-Chaska-MN-55318/63372897_zpid/,2961 Hilltop Dr,55318,Chaska,MN,44.828344,-93.642336,390000.0,4.0,4.0,2760.0,2004,10585.0,SINGLE_FAMILY,RECENTLY_SOLD,30
1576853,https://www.zillow.com/homedetails/561-Kassel-Dr-Chaska-MN-55318/1576853_zpid/,561 Kassel Dr,55318,Chaska,MN,44.814717,-93.615903,317999.0,2.0,4.0,1921.0,1993,8581.0,SINGLE_FAMILY,RECENTLY_SOLD,18
1578161,https://www.zillow.com/homedetails/1569-Skyview-Dr-Chaska-MN-55318/1578161_zpid/,1569 Skyview Dr,55318,Chaska,MN,44.80491,-93.596211,315000.0,3.0,4.0,2250.0,1978,21431.0,SINGLE_FAMILY,RECENTLY_SOLD,21
88930289,https://www.zillow.com/homedetails/418-Amberg-Ln-Chaska-MN-55318/88930289_zpid/,418 Amberg Ln,55318,Chaska,MN,44.81601,-93.609354,460000.0,4.0,5.0,3567.0,2005,11499.0,SINGLE_FAMILY,RECENTLY_SOLD,0
82534900,https://www.zillow.com/homedetails/3110-N-Chestnut-St-UNIT-308-Chaska-MN-55318/82534900_zpid/,3110 N Chestnut St UNIT 308,55318,Chaska,MN,44.83323,-93.603048,207000.0,1.0,2.0,1154.0,2006,435.0,CONDO,RECENTLY_SOLD,23
1575452,https://www.zillow.com/homedetails/2705-Autumn-Woods-Dr-Chaska-MN-55318/1575452_zpid/,2705 Autumn Woods Dr,55318,Chaska,MN,44.824715,-93.57358,367000.0,4.0,5.0,3200.0,1998,8494.0,SINGLE_FAMILY,RECENTLY_SOLD,11
1576116,https://www.zillow.com/homedetails/1206-Sugar-Ln-Chaska-MN-55318/1576116_zpid/,1206 Sugar Ln,55318,Chaska,MN,44.798032,-93.587583,255000.0,2.0,4.0,1710.0,1952,7840.0,SINGLE_FAMILY,RECENTLY_SOLD,0
123763044,https://www.zillow.com/homedetails/4038-Holasek-Path-Chaska-MN-55318/123763044_zpid/,4038 Holasek Path,55318,Chaska,MN,44.79177,-93.621991,492000.0,3.0,4.0,3124.0,2014,8232.0,SINGLE_FAMILY,RECENTLY_SOLD,33
241753930,https://www.zillow.com/homedetails/573-Satori-Way-Chaska-MN-55318/241753930_zpid/,573 Satori Way,55318,Chaska,MN,44.830153,-93.613666,315000.0,3.0,3.0,2069.0,2017,1829.0,TOWNHOUSE,RECENTLY_SOLD,0
63372631,https://www.zillow.com/homedetails/251-Pleasant-Ln-Chaska-MN-55318/63372631_zpid/,251 Pleasant Ln,55318,Chaska,MN,44.83389,-93.608219,249900.0,3.0,3.0,1773.0,2004,-1.0,SINGLE_FAMILY,RECENTLY_SOLD,33
60223958,https://www.zillow.com/homedetails/2350-Molnau-Ct-Chaska-MN-55318/60223958_zpid/,2350 Molnau Ct,55318,Chaska,MN,44.814947,-93.62749,381519.0,4.0,4.0,2786.0,2001,11761.0,SINGLE_FAMILY,RECENTLY_SOLD,35
88928661,https://www.zillow.com/homedetails/1386-Romeo-Ct-Chaska-MN-55318/88928661_zpid/,1386 Romeo Ct,55318,Chaska,MN,44.820942,-93.638076,158000.0,2.0,2.0,986.0,2008,479.0,SINGLE_FAMILY,RECENTLY_SOLD,17
