id,detailUrl,streetAddress,zipcode,city,state,latitude,longitude,price,bathrooms,bedrooms,livingArea,yearBuilt,lotSize,homeType,homeStatus,photoCount
74877670,https://www.zillow.com/homedetails/219-9th-St-SE-Freeport-MN-56331/74877670_zpid/,219 9th St SE,56331,Freeport,MN,45.657668,-94.686188,182000.0,1.0,2.0,1008.0,2003,14810.0,SINGLE_FAMILY,RECENTLY_SOLD,0
206989900,https://www.zillow.com/homedetails/24857-450th-St-Freeport-MN-56331/206989900_zpid/,24857 450th St,56331,Freeport,MN,45.770463,-94.6293,150000.0,1.0,3.0,1876.0,1900,3484800.0,SINGLE_FAMILY,RECENTLY_SOLD,0
74866622,https://www.zillow.com/homedetails/25458-County-Road-17-Freeport-MN-56331/74866622_zpid/,25458 County Road 17,56331,Freeport,MN,45.731183,-94.642658,145000.0,2.0,3.0,1702.0,1995,435600.0,SINGLE_FAMILY,RECENTLY_SOLD,0
74877647,https://www.zillow.com/homedetails/105-2nd-Ave-NE-Freeport-MN-56331/74877647_zpid/,105 2nd Ave NE,56331,Freeport,MN,45.663196,-94.68826,115000.0,1.5,2.0,1023.0,1960,2788.0,SINGLE_FAMILY,RECENTLY_SOLD,0
206989909,https://www.zillow.com/homedetails/44063-Zitner-Rd-Freeport-MN-56331/206989909_zpid/,44063 Zitner Rd,56331,Freeport,MN,45.762164,-94.613711,256400.0,1.0,3.0,1382.0,1900,2352240.0,SINGLE_FAMILY,RECENTLY_SOLD,0
74877685,https://www.zillow.com/homedetails/115-9th-St-SE-Freeport-MN-56331/74877685_zpid/,115 9th St SE,56331,Freeport,MN,45.657708,-94.688966,206500.0,3.0,3.0,2346.0,2004,14810.0,SINGLE_FAMILY,RECENTLY_SOLD,31
74877571,https://www.zillow.com/homedetails/511-Main-St-E-Freeport-MN-56331/74877571_zpid/,511 Main St E,56331,Freeport,MN,45.660637,-94.682338,130000.0,2.0,3.0,1661.0,1951,10454.0,SINGLE_FAMILY,RECENTLY_SOLD,27
112576720,https://www.zillow.com/homedetails/405-10th-St-SE-Freeport-MN-56331/112576720_zpid/,405 10th St SE,56331,Freeport,MN,45.656672,-94.685414,279900.0,2.0,3.0,1850.0,2010,12240.0,SINGLE_FAMILY,RECENTLY_SOLD,0
206995711,https://www.zillow.com/homedetails/27747-County-Road-128-Freeport-MN-56331/206995711_zpid/,27747 County Road 128,56331,Freeport,MN,45.521276,-94.705814,200000.0,1.0,3.0,1586.0,2011,5227200.0,SINGLE_FAMILY,RECENTLY_SOLD,0
74877628,https://www.zillow.com/homedetails/111-2nd-St-NE-Freeport-MN-56331/74877628_zpid/,111 2nd St NE,56331,Freeport,MN,45.664167,-94.688496,109900.0,1.0,2.0,1332.0,1894,6098.0,SINGLE_FAMILY,RECENTLY_SOLD,26
74877704,https://www.zillow.com/homedetails/325-2nd-St-NW-Freeport-MN-56331/74877704_zpid/,325 2nd St NW,56331,Freeport,MN,45.665825,-94.694151,50000.0,1.0,3.0,1056.0,1970,13050.0,SINGLE_FAMILY,RECENTLY_SOLD,0
74877646,https://www.zillow.com/homedetails/707-Main-St-E-Freeport-MN-56331/74877646_zpid/,707 Main St E,56331,Freeport,MN,45.659897,-94.680533,169000.0,2.0,3.0,1344.0,1958,37461.0,SINGLE_FAMILY,RECENTLY_SOLD,0
207002207,https://www.zillow.com/homedetails/312-10th-St-SE-Freeport-MN-56331/207002207_zpid/,312 10th St SE,56331,Freeport,MN,45.656168,-94.686723,186500.0,1.0,3.0,1340.0,2011,10018.0,SINGLE_FAMILY,RECENTLY_SOLD,0
207002108,https://www.zillow.com/homedetails/208-2nd-Ave-NW-Freeport-MN-56331/207002108_zpid/,208 2nd Ave NW,56331,Freeport,MN,45.664922,-94.690534,60000.0,1.0,2.0,780.0,1960,5227.0,SINGLE_FAMILY,RECENTLY_SOLD,0
206992855,https://www.zillow.com/homedetails/28359-County-Road-37-Freeport-MN-56331/206992855_zpid/,28359 County Road 37,56331,Freeport,MN,45.754883,-94.701466,226124.0,1.0,3.0,1278.0,1910,5311706.0,SINGLE_FAMILY,RECENTLY_SOLD,0
74868745,https://www.zillow.com/homedetails/25867-County-Road-37-Freeport-MN-56331/74868745_zpid/,25867 County Road 37,56331,Freeport,MN,45.75813,-94.652501,262500.0,1.0,3.0,1250.0,1923,810651.0,SINGLE_FAMILY,RECENTLY_SOLD,0
91506695,https://www.zillow.com/homedetails/1013-3rd-Ave-SE-Freeport-MN-56331/91506695_zpid/,1013 3rd Ave SE,56331,Freeport,MN,45.655502,-94.688086,205000.0,2.0,3.0,1785.0,2006,10018.0,SINGLE_FAMILY,RECENTLY_SOLD,0
206995647,https://www.zillow.com/homedetails/29198-County-Road-11-Freeport-MN-56331/206995647_zpid/,29198 County Road 11,56331,Freeport,MN,45.544946,-94.700382,335900.0,3.0,4.0,2900.0,1996,2308680.0,SINGLE_FAMILY,RECENTLY_SOLD,22
110479742,https://www.zillow.com/homedetails/1013-2nd-Ave-SE-Freeport-MN-56331/110479742_zpid/,1013 2nd Ave SE,56331,Freeport,MN,45.655616,-94.689313,203000.0,2.0,3.0,1579.0,2009,9583.0,SINGLE_FAMILY,RECENTLY_SOLD,0
91506680,https://www.zillow.com/homedetails/201-10th-St-SE-Freeport-MN-56331/91506680_zpid/,201 10th St SE,56331,Freeport,MN,45.65673,-94.689487,198000.0,2.0,3.0,1732.0,2006,11761.0,SINGLE_FAMILY,RECENTLY_SOLD,0
74877580,https://www.zillow.com/homedetails/212-2nd-Ave-NW-Freeport-MN-56331/74877580_zpid/,212 2nd Ave NW,56331,Freeport,MN,45.664945,-94.69052,140000.0,1.0,3.0,1373.0,1950,12284.0,SINGLE_FAMILY,RECENTLY_SOLD,0
91506699,https://www.zillow.com/homedetails/301-10th-St-SE-Freeport-MN-56331/91506699_zpid/,301 10th St SE,56331,Freeport,MN,45.656702,-94.687525,205000.0,2.0,3.0,1924.0,2006,12196.0,SINGLE_FAMILY,RECENTLY_SOLD,15
206995671,https://www.zillow.com/homedetails/28066-County-Road-12-Freeport-MN-56331/206995671_zpid/,28066 County Road 12,56331,Freeport,MN,45.529965,-94.727349,275000.0,2.0,3.0,1906.0,1945,3360218.0,SINGLE_FAMILY,RECENTLY_SOLD,0
206995661,https://www.zillow.com/homedetails/29235-306th-Ave-Freeport-MN-56331/206995661_zpid/,29235 306th Ave,56331,Freeport,MN,45.548922,-94.755267,236000.0,2.0,5.0,1873.0,1920,603742.0,SINGLE_FAMILY,RECENTLY_SOLD,0
206994087,https://www.zillow.com/homedetails/28928-Oakview-Rd-Freeport-MN-56331/206994087_zpid/,28928 Oakview Rd,56331,Freeport,MN,45.608057,-94.714942,50000.0,1.0,4.0,1379.0,1900,6109290.0,SINGLE_FAMILY,RECENTLY_SOLD,0
206992995,https://www.zillow.com/homedetails/39146-County-Road-11-Freeport-MN-56331/206992995_zpid/,39146 County Road 11,56331,Freeport,MN,45.692452,-94.679443,180000.0,1.75,4.0,2004.0,1948,5227200.0,SINGLE_FAMILY,RECENTLY_SOLD,0
91506722,https://www.zillow.com/homedetails/215-2nd-St-NE-Freeport-MN-56331/91506722_zpid/,215 2nd St NE,56331,Freeport,MN,45.663564,-94.687407,199000.0,2.0,2.0,1750.0,1983,14810.0,SINGLE_FAMILY,RECENTLY_SOLD,0
207002212,https://www.zillow.com/homedetails/1005-4th-Ave-SE-Freeport-MN-56331/207002212_zpid/,1005 4th Ave SE,56331,Freeport,MN,45.655973,-94.685513,199900.0,2.0,3.0,1750.0,2011,10018.0,SINGLE_FAMILY,RECENTLY_SOLD,0
207002214,https://www.zillow.com/homedetails/305-10th-St-SE-Freeport-MN-56331/207002214_zpid/,305 10th St SE,56331,Freeport,MN,45.656697,-94.687173,199000.0,2.0,3.0,1776.0,2010,10018.0,SINGLE_FAMILY,RECENTLY_SOLD,0
110479141,https://www.zillow.com/homedetails/31349-293rd-Ave-Freeport-MN-56331/110479141_zpid/,31349 293rd Ave,56331,Freeport,MN,45.57562,-94.724349,11272.0,0.25,3.0,1247.0,1928,152460.0,SINGLE_FAMILY,SOLD,0
