id,detailUrl,streetAddress,zipcode,city,state,latitude,longitude,price,bathrooms,bedrooms,livingArea,yearBuilt,lotSize,homeType,homeStatus,photoCount
106722144,https://www.zillow.com/homedetails/918-W-Bay-Rd-Two-Harbors-MN-55616/106722144_zpid/,918 W Bay Rd,55616,Two Harbors,MN,47.003952,-91.707967,725000.0,2.0,3.0,3202.0,1995,226511.0,SINGLE_FAMILY,RECENTLY_SOLD,1
106721056,https://www.zillow.com/homedetails/1128-7th-St-Two-Harbors-MN-55616/106721056_zpid/,1128 7th St,55616,Two Harbors,MN,47.030009,-91.672732,164000.0,2.0,3.0,1475.0,1954,6534.0,SINGLE_FAMILY,RECENTLY_SOLD,23
106721052,https://www.zillow.com/homedetails/522-2nd-Ave-Two-Harbors-MN-55616/106721052_zpid/,522 2nd Ave,55616,Two Harbors,MN,47.020634,-91.669526,90500.0,1.0,3.0,1550.0,1889,-1.0,SINGLE_FAMILY,RECENTLY_SOLD,0
106725178,https://www.zillow.com/homedetails/2549-Highway-61-Two-Harbors-MN-55616/106725178_zpid/,2549 Highway 61,55616,Two Harbors,MN,47.105076,-91.53334,156500.0,1.0,3.0,797.0,1940,791920.0,SINGLE_FAMILY,RECENTLY_SOLD,1
106721266,https://www.zillow.com/homedetails/703-14th-Ave-Two-Harbors-MN-55616/106721266_zpid/,703 14th Ave,55616,Two Harbors,MN,47.032888,-91.672269,283900.0,4.0,3.0,4048.0,1979,19166.0,SINGLE_FAMILY,RECENTLY_SOLD,1
106720905,https://www.zillow.com/homedetails/714-10th-Ave-Two-Harbors-MN-55616/106720905_zpid/,714 10th Ave,55616,Two Harbors,MN,47.028549,-91.673196,72500.0,1.0,2.0,662.0,1902,-1.0,SINGLE_FAMILY,RECENTLY_SOLD,0
106720363,https://www.zillow.com/homedetails/1732-6th-Ave-Two-Harbors-MN-55616/106720363_zpid/,1732 6th Ave,55616,Two Harbors,MN,47.024376,-91.693902,242869.0,3.0,4.0,2592.0,1985,38332.0,SINGLE_FAMILY,RECENTLY_SOLD,31
106721135,https://www.zillow.com/homedetails/607-12th-Ave-Two-Harbors-MN-55616/106721135_zpid/,607 12th Ave,55616,Two Harbors,MN,47.030884,-91.671142,150000.0,2.0,3.0,1224.0,1949,6969.0,SINGLE_FAMILY,RECENTLY_SOLD,1
241894476,https://www.zillow.com/homedetails/3197-Highway-61-Two-Harbors-MN-55616/241894476_zpid/,3197 Highway 61,55616,Two Harbors,MN,47.137932,-91.477024,270000.0,1.0,1.0,1421.0,2005,27878.0,SINGLE_FAMILY,RECENTLY_SOLD,0
303995957,https://www.zillow.com/homedetails/1890-Loop-Rd-Two-Harbors-MN-55616/303995957_zpid/,1890 Loop Rd,55616,Two Harbors,MN,47.067601,-91.599588,410000.0,2.0,3.0,2100.0,2005,348480.0,SINGLE_FAMILY,RECENTLY_SOLD,1
106722517,https://www.zillow.com/homedetails/1848-Big-Rock-Rd-Two-Harbors-MN-55616/106722517_zpid/,1848 Big Rock Rd,55616,Two Harbors,MN,47.06376,-91.707292,215000.0,1.0,3.0,1824.0,1925,1828213.0,SINGLE_FAMILY,RECENTLY_SOLD,13
106721075,https://www.zillow.com/homedetails/817-11th-Ave-Two-Harbors-MN-55616/106721075_zpid/,817 11th Ave,55616,Two Harbors,MN,47.029837,-91.675083,138000.0,1.0,2.0,872.0,1947,6969.0,SINGLE_FAMILY,RECENTLY_SOLD,1
106721035,https://www.zillow.com/homedetails/520-2nd-Ave-Two-Harbors-MN-55616/106721035_zpid/,520 2nd Ave,55616,Two Harbors,MN,47.020632,-91.669488,80000.0,2.0,2.0,1464.0,1889,-1.0,SINGLE_FAMILY,RECENTLY_SOLD,0
106721245,https://www.zillow.com/homedetails/709-13th-Ave-Two-Harbors-MN-55616/106721245_zpid/,709 13th Ave,55616,Two Harbors,MN,47.031998,-91.673369,190000.0,2.0,4.0,2100.0,1964,9583.0,SINGLE_FAMILY,RECENTLY_SOLD,1
126034582,https://www.zillow.com/homedetails/603-15th-Ave-Two-Harbors-MN-55616/126034582_zpid/,603 15th Ave,55616,Two Harbors,MN,47.034027,-91.671318,121000.0,1.0,2.0,864.0,1996,-1.0,SINGLE_FAMILY,RECENTLY_SOLD,7
