id,detailUrl,streetAddress,zipcode,city,state,latitude,longitude,price,bathrooms,bedrooms,livingArea,yearBuilt,lotSize,homeType,homeStatus,photoCount
2080172497,https://www.zillow.com/homedetails/3145-E-Bde-Maka-Ska-Pkwy-Minneapolis-MN-55408/2080172497_zpid/,3145 E Bde Maka Ska Pkwy,55408,Minneapolis,MN,44.944,-93.293323,1300000.0,3.0,3.0,3952.0,1908,-1.0,SINGLE_FAMILY,FOR_SALE,22
2001181,https://www.zillow.com/homedetails/2675-E-Lake-Of-The-Isles-Pkwy-Minneapolis-MN-55408/2001181_zpid/,2675 E Lake Of The Isles Pkwy,55408,Minneapolis,MN,44.955299,-93.300979,1490000.0,4.0,4.0,3630.0,1903,10454.0,SINGLE_FAMILY,FOR_SALE,55
110573358,https://www.zillow.com/homedetails/334-E-34th-St-Minneapolis-MN-55408/110573358_zpid/,334 E 34th St,55408,Minneapolis,MN,44.941603,-93.270967,269900.0,2.0,3.0,1808.0,1912,3920.0,SINGLE_FAMILY,FOR_SALE,41
82650898,https://www.zillow.com/homedetails/203-W-31st-St-Minneapolis-MN-55408/82650898_zpid/,203 W 31st St,55408,Minneapolis,MN,44.946382,-93.281785,215000.0,2.0,3.0,1885.0,2003,10672.0,TOWNHOUSE,FOR_SALE,22
2010342,https://www.zillow.com/homedetails/2834-Harriet-Ave-Minneapolis-MN-55408/2010342_zpid/,2834 Harriet Ave,55408,Minneapolis,MN,44.95084,-93.285901,325000.0,2.0,3.0,1400.0,1900,3049.0,SINGLE_FAMILY,FOR_SALE,24
1711835,https://www.zillow.com/homedetails/3500-Grand-Ave-S-Minneapolis-MN-55408/1711835_zpid/,3500 Grand Ave S,55408,Minneapolis,MN,44.939389,-93.284627,339900.0,2.0,3.0,1060.0,1911,2657.0,SINGLE_FAMILY,FOR_SALE,26
2001263,https://www.zillow.com/homedetails/2606-Humboldt-Ave-S-APT-11-Minneapolis-MN-55408/2001263_zpid/,2606 Humboldt Ave S APT 11,55408,Minneapolis,MN,44.955321,-93.298909,219900.0,1.0,2.0,760.0,1912,10497.0,CONDO,FOR_SALE,16
2001754,https://www.zillow.com/homedetails/2715-Aldrich-Ave-S-Minneapolis-MN-55408/2001754_zpid/,2715 Aldrich Ave S,55408,Minneapolis,MN,44.953278,-93.288998,415000.0,2.0,4.0,2012.0,1904,4791.0,SINGLE_FAMILY,FOR_SALE,62
82644957,https://www.zillow.com/homedetails/3445-1st-Ave-S-Minneapolis-MN-55408/82644957_zpid/,3445 1st Ave S,55408,Minneapolis,MN,44.93986,-93.276266,315000.0,3.0,2.0,1520.0,2006,10367.0,TOWNHOUSE,FOR_SALE,31
71816100,https://www.zillow.com/homedetails/3124-Lyndale-Ave-S-APT-A-Minneapolis-MN-55408/71816100_zpid/,3124 Lyndale Ave S APT A,55408,Minneapolis,MN,44.945662,-93.288547,359900.0,4.0,4.0,1710.0,2004,5432.0,CONDO,FOR_SALE,37
1717910,https://www.zillow.com/homedetails/3300-Holmes-Ave-S-Minneapolis-MN-55408/1717910_zpid/,3300 Holmes Ave S,55408,Minneapolis,MN,44.942778,-93.299965,675000.0,3.0,3.0,2190.0,1909,3920.0,SINGLE_FAMILY,FOR_SALE,45
1718465,https://www.zillow.com/homedetails/3531-Hennepin-Ave-APT-4-Minneapolis-MN-55408/1718465_zpid/,3531 Hennepin Ave APT 4,55408,Minneapolis,MN,44.938483,-93.298,459900.0,3.0,3.0,2020.0,1995,11282.0,TOWNHOUSE,FOR_SALE,28
